Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Pardo A., Siemens G.","56699549500;36844717000;","Ethical and privacy principles for learning analytics",2014,"British Journal of Educational Technology","45","3",,"438","450",,306,"10.1111/bjet.12152",2-s2.0-84898796786
"Prieto L.P., Rodríguez-Triana M.J., Martínez-Maldonado R., Dimitriadis Y., Gašević D.","36936110000;51161955600;55255183300;6603770066;8549413500;","Orchestrating learning analytics (OrLA): Supporting inter-stakeholder communication about adoption of learning analytics at the classroom level",2019,"Australasian Journal of Educational Technology","35","4",,"14","33",,62,"10.14742/ajet.4314",2-s2.0-85069910666
"Prieto L.P., Sharma K., Dillenbourg P., Jesús M.","36936110000;55903734200;8912010400;51161955600;","Teaching analytics: Towards automatic extraction of orchestration graphs using wearable sensors",2016,"ACM International Conference Proceeding Series","25-29-April-2016",,,"148","157",,80,"10.1145/2883851.2883927",2-s2.0-84976521244
"Romero C., Romero J.R., Ventura S.","55865135900;14827350700;8846948400;","A survey on pre-processing educational data",2014,"Studies in Computational Intelligence","524",,,"29","64",,59,"10.1007/978-3-319-02738-8_2",2-s2.0-84958553418
"Romero C., Ventura S.","",[No title available],2006,"Data Mining in E-Learning",,,,"","",,88,,2-s2.0-33845623510
"Romero C., Ventura S.","55865135900;8846948400;","Educational data mining: A survey from 1995 to 2005",2007,"Expert Systems with Applications","33","1",,"135","146",,1062,"10.1016/j.eswa.2006.04.005",2-s2.0-33845663518
"Romero C., Ventura S.","55865135900;8846948400;","Educational data mining: A review of the state of the art",2010,"IEEE Transactions on Systems, Man and Cybernetics Part C: Applications and Reviews","40","6","5524021","601","618",,1321,"10.1109/TSMCC.2010.2053532",2-s2.0-77958153220
"Romero C., Ventura S.","55865135900;8846948400;","Data mining in education",2013,"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery","3","1",,"12","27",,605,"10.1002/widm.1075",2-s2.0-84879515897
"Romero C., Ventura S.","55865135900;8846948400;","Educational data science in massive open online courses",2017,"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery","7","1","e1187","","",,93,"10.1002/widm.1187",2-s2.0-84992597265
"Romero C., Ventura S., Pechenizkiy M., Baker R.S.J.D.","55865135900;8846948400;55900254600;8967971100;","Handbook of educational data mining",2010,"Handbook of Educational Data Mining",,,,"1","503",,186,"10.1201/b10274",2-s2.0-85035698700
"Romero C., Ventura S., García E.","55865135900;8846948400;36185295000;","Data mining in course management systems: Moodle case study and tutorial",2008,"Computers and Education","51","1",,"368","384",,723,"10.1016/j.compedu.2007.05.016",2-s2.0-43549125222
"Rosé C.P., McLaughlin E.A., Liu R., Koedinger K.R.","8097137900;36675475100;37075122600;6603678234;","Explanatory learner models: Why machine learning (alone) is not the answer",2019,"British Journal of Educational Technology","50","6",,"2943","2958",,71,"10.1111/bjet.12858",2-s2.0-85071170737
"Shen S., Mostafavi B., Barnes T., Chi M.","","Exploring induced pedagogical strategies through a Markov decision process framework: Lessons learned. JEDM|",2018,"Journal of Educational Data Mining","10","3",,"27","68",,12,,2-s2.0-85078249345
"Siemens G., Baker R.","",[No title available],2012,,,,,"","",,1,,2-s2.0-85083533940
"Long P., Siemens G.","","Penetrating the fog: Analytics in learning and education",2011,"Educause Review","46","5",,"31","40",,1184,,2-s2.0-81355163763
"Siemens G.","36844717000;","Learning Analytics: The Emergence of a Discipline",2013,"American Behavioral Scientist","57","10",,"1380","1400",,637,"10.1177/0002764213498851",2-s2.0-84883762729
"Slater S., Joksimović S., Kovanovic V., Baker R.S., Gasevic D.","57193204958;55837206800;55096902400;8967971100;8549413500;","Tools for Educational Data Mining: A Review",2017,"Journal of Educational and Behavioral Statistics","42","1",,"85","106",,143,"10.3102/1076998616666808",2-s2.0-85011617066
"Larrabee Sønderlund A., Hughes E., Smith J.","57204636217;57198864932;8960595200;","The efficacy of learning analytics interventions in higher education: A systematic review",2019,"British Journal of Educational Technology","50","5",,"2594","2618",,120,"10.1111/bjet.12720",2-s2.0-85056473554
"Spikol D., Worsley M., Prieto L.P., Ochoa X., Rodríguez-Triana M.J., Cukurova M.","24345016200;37012933400;36936110000;15050959300;51161955600;56904209900;","Current and future multimodal learning analytics data challenges",2017,"ACM International Conference Proceeding Series",,,,"518","519",,11,"10.1145/3027385.3029437",2-s2.0-85016493237
"Williamson B.","55603467700;","Brain Data: Scanning, Scraping and Sculpting the Plastic Learning Brain Through Neurotechnology",2019,"Postdigital Science and Education","1","1",,"65","86",,42,"10.1007/s42438-018-0008-5",2-s2.0-85124476275
"Wong J., Baars M., De Koning B.B., Van Der Zee T., Davis D., Khalil M., Houben G.-J., Paas F.","57202376814;55871343200;22134045400;57163561300;57189390673;57002304100;7006199386;35234562700;","Educational theories and learning analytics: From data to knowledge: The whole is greater than the sum of its parts",2019,"Utilizing learning analytics to support study success",,,,"3","25",,32,"10.1007/978-3-319-64792-0_1",2-s2.0-85075467329
